V1,V2,V3,V4,V5
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
160,160,160,160,160
220,220,220,220,220
220,220,220,220,220
200,200,200,200,200
200,200,200,200,200
180,180,180,180,180
180,180,180,180,180
160,160,160,160,160
